Label,Load (µL),Signal (px),Mass (ng),Conc (ng/µL)
K2,1,"11,108.44",55.73,55.73
K2,0.1,"2,502.91",8.08,80.78
K4,1,"58,227.40",318.55,318.55
K4,0.1,"13,261.66",69.58,695.76
T2,1,"12,573.60",63.84,63.84
T2,0.1,"2,286.11",6.88,68.77
T4,1,"62,439.62",341.88,341.88
T4,0.1,"17,678.28",94.03,940.31
