,sample,px,ng
0,p240,3521.7980830326114,69.80987292000108
1,p242A,4555.360237407744,90.26730882072184
2,p242B,4361.755254944849,86.43525914472596
3,p2,2887.390046374131,57.25294860741402
4,p236,2728.0908744894327,54.09991849299449
5,crude,5256.905782573156,104.15309494486104
6,freeze-and-squeeze,2525.242326041457,50.084909661776635
7,electroelution,424.3478255925511,8.501619875886309
8,QIAEX II,4293.737164150267,85.08896784852344
