Label,Load (µL),Signal (px),Mass (ng),Conc (ng/µL)
K,1.0,10561.467723499358,74.68239707335833,74.68239707335833
K,0.3333333333333333,3952.8764784504215,27.951634988073423,83.85490496422027
K,0.1111111111111111,1435.0702363764008,10.147688562523976,91.32919706271579
T,1.0,8753.907340331514,61.90075101772043,61.90075101772043
T,0.3333333333333333,4865.59600515376,34.40566996639379,103.21700989918136
T,0.1111111111111111,3064.7073186908938,21.671200905044795,195.04080814540316
