,well,label,slope,intercept,r2
0,A1,blank,-0.12298387096774188,66.55443548387096,0.035373950474568
1,A2,100.0 U/mL,16.514516129032256,293.7016129032258,0.9773666015039959
2,B1,DNA-blocked DNAzyme,0.7983870967741934,247.73387096774192,0.26127360552777207
3,B2,31.6 U/mL,9.801209677419354,281.59475806451616,0.9538472771088633
4,C1,free DNAzyme,38.72540322580646,376.08669354838696,0.9910328398367055
5,C2,10.0 U/mL,4.6625,256.41733870967744,0.9441915992682782
6,D1,FAM,-55.73508064516128,11563.832661290322,0.4875779839296383
7,D2,3.16 U/mL,1.110483870967742,254.5685483870968,0.3602452008572342
8,E2,1.0 U/mL,0.7298387096774195,256.116935483871,0.23931864933729174
9,F2,0.316 U/mL,1.7528225806451612,248.73991935483875,0.5694296485137776
10,G2,0.1 U/mL,1.61491935483871,249.09879032258064,0.6635787274532519
11,H2,0.0 U/mL,1.5774193548387097,241.40322580645162,0.5104160774415265
