Library,Complexity,Transformants,Unique Transformants,Coverage (%),Coverage (x)
p239 (f190 + f191),4.0,1599.9999999999998,4.0,100.0,399.99999999999994
f190 only,1.0,0.0,1.0,100.0,0.0
